Application Type,Signal Strength,Latency,Required Bandwidth,Allocated Bandwidth,Resource Allocation
4,0.5686200915494006,0.7900520502169761,0.9845160386791129,0.0,0.0
7,0.7441018424117022,1.0,0.31477399109242,0.0,0.19503893583904186
0,0.9193716811110587,0.283942497950615,0.9798246844839831,0.0,0.0
10,0.7842120701303533,0.2306909817684701,0.9001317181405042,0.0,1.0
7,0.3875601869609208,0.0,0.44145760601495987,0.010771616213153009,0.9425698835068601
2,0.21697075276959288,0.8839179799020012,0.1231869445913184,0.03240544915684743,0.0
4,0.2519720549643799,1.0,0.844407389927474,0.01317223949141961,0.7956927507288162
0,0.7377845368791431,0.8220815704823176,0.46032214470057087,0.20240941760645204,0.1934575068328988
8,0.3260764842735711,0.4824428644979549,0.011688400536201363,0.41024380678226857,0.556048890586072
8,0.14906945463943866,0.6172497914077082,0.5927727369256981,0.0,0.11748389722530012
5,0.4050681548244478,0.46452431500988345,0.37711023467586313,0.10328719453930094,0.8476283798624963
1,0.4835626777530948,0.042024736702278326,0.33204317009616463,0.014187152345341767,0.8068125298719873
4,0.5076944453488249,0.27351251943131694,0.4386018962447791,0.053229311928173914,0.15067882328662008
3,0.40828918741363696,0.06963514936924331,0.09690958655209049,0.04941231241460012,0.8754518224020968
9,0.4220675585294791,0.0,0.9597081563987079,0.00030002623609652265,0.07786421046856576
3,0.3080714943578672,0.35744283632503315,1.0,0.0,0.8271593114247553
6,0.35978178485451334,0.07891274556265682,0.0,0.38905775760804107,0.6283284349846521
4,0.04446839261731109,0.20151681835934748,0.3861226772154902,0.0,0.8285065622468258
6,0.5374185243075644,0.8407277228896811,0.04437998492242927,0.3982242241065448,0.46147260380620064
6,0.999457711089605,0.5224058531546657,0.9746232479280037,0.2137131818237056,0.7576387862928067
10,0.3843032854119411,0.3089826839955001,0.0,0.0,0.07090074213091119
3,0.3564702574224477,1.0,0.09059870498172315,0.20086871359378788,0.7890100076067728
5,0.09512892303218623,0.4495635800678478,0.28469159466466687,0.03557583960794915,0.21462915229820745
4,1.0,0.482497708901773,0.03164501212425999,0.023880807192205537,0.4077954105104059
1,0.3414072058324611,0.09492168806025572,0.08439837066948105,0.1657310279221612,0.5476734617277232
0,0.012773460117038227,0.0990035040469999,0.020740898636302907,0.0,1.0
7,0.19734017775664933,0.5102935857207337,1.0,0.7276070050103306,0.22648321787537373
1,0.47367947929564663,0.48497897426607406,0.47640935761967257,0.06653163849175783,0.19828013486998258
7,0.30903318968690824,0.43204730691018667,0.789751808892119,0.019988269315193995,0.0
4,0.31345135672922364,1.0,0.7863934628022705,0.08552295937758075,0.0
4,0.15789600830293282,0.07295685177336639,0.7613107526416568,0.0,0.1651632335375623
6,0.44709494449700266,0.9268976708046132,1.0,0.008089816537428025,0.6840594623229295
1,0.6126705359599027,0.13774644278104586,0.0,0.33635035949981473,1.0
4,0.5341504024856907,0.03167485649165358,0.31245900419164496,0.0,0.0
4,0.38727564076038956,0.1856016466666811,1.0,0.0,0.8003237390468176
4,0.346412057497455,0.19019337920567678,0.25872371335309247,0.2174572852780138,0.5029871886388377
5,0.5308222906519489,0.32601853712507733,0.7553427906404151,0.05888299109055357,0.4115669879240116
7,0.7394212059639305,0.20397120002835917,0.22321074639768382,0.023388916399542912,0.9836482591486224
4,0.3426603637147159,0.3037032281117244,0.1074753327431258,0.03163957235614932,1.0
4,0.9983806814690437,0.38298548499891505,0.03298728059618805,0.0,0.0
5,0.2654542488051069,0.0,0.05712616128712668,0.015780546724182914,0.5129369991896522
7,0.3058483362300504,0.946207340191688,0.25888486513357634,0.0,0.5171521373479538
10,0.1526058057311957,0.5009312573164924,0.7512745017330269,0.9152764298495044,0.0
2,0.28971836093447645,0.43371101232275894,0.09492373082587176,0.06089126884633118,0.2717965684445861
7,0.5265767915888788,0.10151606490544535,0.27049800350332404,0.04425735096213067,0.881554744391514
10,0.5416069054027353,0.40768216997264095,0.0,0.13277678559641826,0.09030088821552129
5,0.47266626871299566,0.44761952482091805,0.11218653419070615,0.0,0.07554241289200109
4,0.3842612785958843,0.15177222347535566,0.06513546514401561,0.09082477709887857,0.2619599509218703
7,0.35221392319738476,0.28811200128572084,0.8089601219874515,0.0,0.96772450148098
0,0.3221072138784708,0.8894443676467753,0.1576711675630902,0.8759534958794432,1.0
5,0.31932744823074694,0.27838215912927716,0.0,0.0956285210554281,0.42841598038221645
7,0.2133622551484623,0.30935031007491753,1.0,0.0,0.4934615540974811
7,0.3356989385734405,0.13322233280001927,0.02729982805100367,0.0,0.42833788646493287
4,0.31113111298653057,0.8033090346578169,1.0,0.0,0.4419373822281597
