Signal Strength,Latency,Required Bandwidth,Allocated Bandwidth,Resource Allocation,Application Type_Background Download,Application Type_Emergency Service,Application Type_File Download,Application Type_IoT Temperature,Application Type_Online Gaming,Application Type_Streaming,Application Type_Video Call,Application Type_Video Streaming,Application Type_VoIP Call,Application Type_Voice Call,Application Type_Web Browsing
0.41308634697608326,0.36103484728168256,0.23976340418891545,0.25183440255778794,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.4484373147983707,0.29178989250702775,0.2556762550786422,0.2600109261297811,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3855421686746987,0.3272727272727272,0.2237762237762237,0.2307692307692308,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3373493975903614,0.9090909090909092,0.0006993006993006,0.0009615384615384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8826840166631745,0.3478433943913044,0.3794599537275768,0.3670690601477147,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3373493975903614,0.9090909090909092,0.0006993006993006,0.0009615384615384001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3855421686746987,0.4363636363636363,0.0419580419580419,0.0384615384615384,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3855421686746987,0.4363636363636363,0.0419580419580419,0.0384615384615384,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4394212984977516,0.1859389056865664,0.009110512045235351,0.009953866810696512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4819277108433735,0.3090909090909091,0.2237762237762237,0.2243589743589744,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.608183529519629,0.3137380164861013,0.004907951566972629,0.005440014023992902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7831325301204819,0.0454545454545454,0.0559440559440559,0.0641025641025641,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6626506024096385,0.1818181818181818,0.2517482517482517,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1927710843373493,0.0363636363636363,0.0069930069930069,0.0064102564102564,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3415786007644585,0.38930023096548594,0.05531693556402605,0.05070719093369059,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8621050802688416,0.33231565147558045,0.36751553610009685,0.3561200106558581,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14127873933768456,0.602489678499747,0.032675619136383026,0.029952650875017774,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24096385542168663,0.9090909090909092,6.993006993006993e-05,0.00012820512820510002,0.625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12816658371644116,0.6123833959230489,0.031914563949975196,0.02925501695414396,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6681095839540007,0.3677554133471096,0.0019394771090271695,0.0033804181191723318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.3090553819288099,0.9841634863677833,0.00046514662238393713,0.0004904869679545409,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1930275700656513,0.5360733411529672,0.03725823177184782,0.03415337912419384,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25031504577135366,0.49438193747765324,0.0397495371177872,0.036437075691304964,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8022486030347751,0.29327796737096135,0.3327736646985057,0.32427329520439957,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3424114274862128,0.42845657020030453,0.04565729074078467,0.04185251651238595,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37721226877663927,0.5530879258252043,0.04830572320599186,0.04430758532630568,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38916322098681067,0.5303228345125143,0.05305281803421687,0.0486554643048148,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42825982794593254,0.3761643594368054,0.34591010379362636,0.37629229114165713,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4146441065155031,0.37632657866602814,0.23750080221870132,0.2526632105178639,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.34055473907640227,0.4051944520156726,0.15701544523544247,0.17225593077692922,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6295807290776452,0.3295000843278886,0.0038817875432754726,0.005160869350566632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7740854148757241,0.2659008130425919,0.3164271988439517,0.3092890348377251,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11080549662478437,0.6254831252740263,0.03090689246143847,0.028331318089651954,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6506024096385542,0.1727272727272727,0.24475524475524474,0.2435897435897436,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3855421686746987,0.4363636363636363,0.0419580419580419,0.0384615384615384,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
